id,card_name,foundry,process_size,transistors,die_size,architecture,slot_width,tdp,base_clock,mem_clock,directX_ver,opengl_ver,opencl_ver,vulkan_ver,cuda_ver,shader_model_ver,mem_size,mem_type,mem_bus,bandwidth,pixel_rate,texture_rate,FP16_rate,FP32_rate,FP64_rate,shading_units,production_status,release_date
2701,AMD Lexa,GlobalFoundries,14 nm,"2,200 million",103 mm²,GCN 4.0,,,,,12 (12_0),4.6,2.1,1.3,,6.7,,,,,,,,,,640,,"Apr 20th, 2017"
2702,XGI Volari V8 Ultra,UMC,130 nm,110 million,unknown,XG4,Single-slot,unknown,,"375 MHz
										
					750 Mbps effective",9.0,1.5,N/A,N/A,,,256 MB,DDR,128 bit,12.00 GB/s,1.400 GPixel/s,2.800 GTexel/s,,,,,End-of-life,"Sep 15th, 2003"
2703,NVIDIA GeForce GT 740M,TSMC,28 nm,"1,020 million",87 mm²,Kepler 2.0,MXM Module,33 W,980 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,3.0,1.2.175,3.5,6.5 (5.1),2 GB,DDR3,64 bit,14.40 GB/s,8.264 GPixel/s,33.06 GTexel/s,,793.3 GFLOPS,33.06 GFLOPS (1:24),384,End-of-life,"Jun 20th, 2013"
2704,NVIDIA GeForce 920M,TSMC,28 nm,"1,020 million",87 mm²,Kepler 2.0,IGP,33 W,954 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,3.0,1.2.175,3.5,6.5 (5.1),2 GB,DDR3,64 bit,14.40 GB/s,7.632 GPixel/s,30.53 GTexel/s,,732.7 GFLOPS,30.53 GFLOPS (1:24),384,Active,"Mar 13th, 2015"
2705,AMD Radeon R4E Mobile Graphics,GlobalFoundries,28 nm,"1,200 million",125 mm²,GCN 3.0,IGP,15 W,400 MHz,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,4.800 GPixel/s,7.200 GTexel/s,230.4 GFLOPS (1:1),230.4 GFLOPS,14.40 GFLOPS (1:16),192,End-of-life,"Jun 1st, 2016"
2706,NVIDIA RTX 2000 Max-Q Ada Generation,TSMC,5 nm,unknown,146 mm²,Ada Lovelace,IGP,35 W,930 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.9,6.7,8 GB,GDDR6,128 bit,224.0 GB/s,46.56 GPixel/s,139.7 GTexel/s,8.940 TFLOPS (1:1),8.940 TFLOPS,139.7 GFLOPS (1:64),3072,Active,Unknown
2707,NVIDIA GeForce MX570,Samsung,8 nm,"8,700 million",200 mm²,Ampere,IGP,15 W,832 MHz,"1500 MHz
										
					12 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,2 GB,GDDR6,64 bit,96.00 GB/s,36.96 GPixel/s,73.92 GTexel/s,4.731 TFLOPS (1:1),4.731 TFLOPS,73.92 GFLOPS (1:64),2048,Active,"Dec 17th, 2021"
2708,NVIDIA GeForce MX150,Samsung,14 nm,"1,800 million",74 mm²,Pascal,IGP,25 W,1469 MHz,"1502 MHz
										
					6 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,2 GB,GDDR5,64 bit,48.06 GB/s,24.51 GPixel/s,36.77 GTexel/s,18.38 GFLOPS (1:64),"1,177 GFLOPS",36.77 GFLOPS (1:32),384,End-of-life,"May 17th, 2017"
2709,AMD Barts,TSMC,40 nm,"1,700 million",255 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,1120,,"Oct 21st, 2010"
2710,NVIDIA G96,UMC,65 nm,314 million,144 mm²,Tesla,,,,,11.1 (10_0),3.3,1.1,N/A,1.1,4.0,,,,,,,,,,32,,"Jun 3rd, 2008"
2711,AMD Radeon Vega 11,GlobalFoundries,12 nm,"4,940 million",210 mm²,GCN 5.0,IGP,15 W,300 MHz,System Shared,12 (12_1),4.6,2.1,1.3,,6.7,System Shared,System Shared,System Shared,System Dependent,11.20 GPixel/s,61.60 GTexel/s,3.942 TFLOPS (2:1),1.971 TFLOPS,123.2 GFLOPS (1:16),704,Active,"Sep 30th, 2019"
2712,ATI Radeon X800 XL,TSMC,110 nm,160 million,240 mm²,R400,Single-slot,49 W,,"490 MHz
										
					980 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,256 MB,GDDR3,256 bit,31.36 GB/s,6.400 GPixel/s,6.400 GTexel/s,,,,,End-of-life,"Dec 1st, 2004"
2713,NVIDIA GeForce GTX 1650 Max-Q,TSMC,12 nm,"4,700 million",200 mm²,Turing,,30 W,930 MHz,"1250 MHz
										
					10 Gbps effective",12 (12_1),4.6,3.0,1.3,7.5,6.7,4 GB,GDDR6,128 bit,160.0 GB/s,36.00 GPixel/s,72.00 GTexel/s,4.608 TFLOPS (2:1),2.304 TFLOPS,72.00 GFLOPS (1:32),1024,Active,"Apr 15th, 2020"
2714,ATI FireGL V5100,TSMC,130 nm,160 million,289 mm²,R400,Single-slot,unknown,,"350 MHz
										
					700 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,128 MB,DDR,256 bit,22.40 GB/s,5.400 GPixel/s,5.400 GTexel/s,,,,,End-of-life,"May 1st, 2004"
2715,NVIDIA GeForce GTS 150M,TSMC,65 nm,505 million,240 mm²,Tesla,IGP,45 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,1024 MB,GDDR3,256 bit,51.20 GB/s,6.400 GPixel/s,12.80 GTexel/s,,128.0 GFLOPS,,64,End-of-life,"Mar 3rd, 2009"
2716,NVIDIA GeForce 7600 GS AGP,TSMC,90 nm,278 million,196 mm²,Curie,Single-slot,27 W,,"725 MHz
										
					1450 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,128 bit,23.20 GB/s,4.000 GPixel/s,6.000 GTexel/s,,,,,End-of-life,"Jul 1st, 2006"
2717,NVIDIA Tesla S2050,TSMC,40 nm,"3,100 million",529 mm²,Fermi,Dual-slot,900 W,,"773 MHz
										
					3.1 Gbps effective",12 (11_0),4.6,1.1,N/A,2.0,5.1,3 GB,GDDR5,384 bit,148.4 GB/s,16.07 GPixel/s,32.14 GTexel/s,,"1,028 GFLOPS",513.9 GFLOPS (1:2),448,End-of-life,"Jul 25th, 2011"
2718,NVIDIA TU106,TSMC,12 nm,"10,800 million",445 mm²,Turing,,,,,12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,,,,,,,,,,2304,,"Oct 17th, 2018"
2719,NVIDIA GeForce 6800 GT,TSMC,130 nm,222 million,287 mm²,Curie,Single-slot,67 W,,"500 MHz
										
					1000 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,256 MB,GDDR3,256 bit,32.00 GB/s,5.600 GPixel/s,5.600 GTexel/s,,,,,End-of-life,"Jun 8th, 2004"
2720,ATI Rage 128 PRO Ultra GL,TSMC,250 nm,8 million,89 mm²,Rage 4,Single-slot,unknown,,"130 MHz
										
					260 Mbps effective",6.0,1.2,N/A,N/A,,,16 MB,DDR,64 bit,2.080 GB/s,260.0 MPixel/s,260.0 MTexel/s,,,,,End-of-life,"Aug 1st, 1998"
2721,NVIDIA GeForce GTX 760,TSMC,28 nm,"3,540 million",294 mm²,Kepler,Dual-slot,170 W,980 MHz,"1502 MHz
										
					6 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),2 GB,GDDR5,256 bit,192.3 GB/s,24.77 GPixel/s,99.07 GTexel/s,,2.378 TFLOPS,99.07 GFLOPS (1:24),1152,End-of-life,"Jun 25th, 2013"
2722,ATI M76,TSMC,65 nm,390 million,153 mm²,TeraScale,,,,,10.0 (10_0),3.3,N/A,N/A,,4.0,,,,,,,,,,120,,"May 14th, 2007"
2723,AMD Radeon HD 8870 OEM,TSMC,28 nm,"2,800 million",212 mm²,GCN 1.0,Dual-slot,175 W,,"1200 MHz
										
					4.8 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,256 bit,153.6 GB/s,32.00 GPixel/s,80.00 GTexel/s,,2.560 TFLOPS,160.0 GFLOPS (1:16),1280,End-of-life,"Jan 8th, 2013"
2724,ATI Radeon HD 3470,TSMC,55 nm,181 million,67 mm²,TeraScale,Single-slot,30 W,,"950 MHz
										
					1900 Mbps effective",10.1 (10_1),3.3,N/A,N/A,,4.1,256 MB,GDDR3,64 bit,15.20 GB/s,3.200 GPixel/s,3.200 GTexel/s,,64.00 GFLOPS,,40,End-of-life,"Jan 23rd, 2008"
2725,AMD Radeon Pro W6900X,TSMC,7 nm,"26,800 million",520 mm²,RDNA 2.0,,300 W,1825 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,2.1,1.3,,6.7,32 GB,GDDR6,256 bit,512.0 GB/s,277.9 GPixel/s,694.7 GTexel/s,44.46 TFLOPS (2:1),22.23 TFLOPS,"1,389 GFLOPS (1:16)",5120,Active,"Aug 3rd, 2021"
2726,NVIDIA GeForce 9800 GT,TSMC,55 nm,754 million,260 mm²,Tesla,Single-slot,125 W,,"900 MHz
										
					1800 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,256 bit,57.60 GB/s,9.600 GPixel/s,33.60 GTexel/s,,336.0 GFLOPS,,112,End-of-life,"Jul 21st, 2008"
2727,NVIDIA L40,TSMC,5 nm,"76,300 million",608 mm²,Ada Lovelace,Dual-slot,300 W,735 MHz,"2250 MHz
										
					18 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.9,6.7,48 GB,GDDR6,384 bit,864.0 GB/s,478.1 GPixel/s,"1,414 GTexel/s",90.52 TFLOPS (1:1),90.52 TFLOPS,"1,414 GFLOPS (1:64)",18176,Active,"Oct 13th, 2022"
2728,Intel GMA X4500,Intel,65 nm,unknown,unknown,Generation 5.0,IGP,13 W,,System Shared,10.0,2.0,N/A,N/A,,4.0,System Shared,System Shared,System Shared,System Dependent,533.0 MPixel/s,5.330 GTexel/s,,85.28 GFLOPS,,80,End-of-life,"Jun 1st, 2008"
2729,ATI Radeon X300,TSMC,110 nm,107 million,74 mm²,R300,Single-slot,36 W,,"200 MHz
										
					400 Mbps effective",9.0,2.0,N/A,N/A,,,64 MB,DDR,128 bit,6.400 GB/s,1.500 GPixel/s,1.500 GTexel/s,,,,,End-of-life,"Sep 1st, 2004"
2730,ATI Radeon X1800 GTO,TSMC,90 nm,312 million,288 mm²,Ultra-Threaded SE,Single-slot,48 W,,"495 MHz
										
					990 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,256 bit,31.68 GB/s,6.000 GPixel/s,6.000 GTexel/s,,,,,End-of-life,"Mar 1st, 2006"
2731,NVIDIA NV43,TSMC,110 nm,146 million,154 mm²,Curie,,,,,9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,,,,,,,,,,,,"Aug 9th, 2004"
2732,Sony Playstation 2 GPU 180nm,Sony,180 nm,54 million,188 mm²,,,79 W,,150 MHz,N/A,N/A,N/A,N/A,,,4 MB,eDRAM,2560 bit,48.00 GB/s,2.352 GPixel/s,1.176 GTexel/s,,,,,End-of-life,"Apr 18th, 2001"
2733,ATI Mobility Radeon HD 4570,TSMC,55 nm,242 million,73 mm²,TeraScale,MXM Module,unknown,,"800 MHz
										
					1600 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,512 MB,GDDR3,64 bit,12.80 GB/s,2.720 GPixel/s,5.440 GTexel/s,,108.8 GFLOPS,,80,End-of-life,"Jan 9th, 2009"
2734,NVIDIA GeForce GT 550M,TSMC,40 nm,"1,170 million",238 mm²,Fermi 2.0,IGP,35 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,128 bit,28.80 GB/s,1.900 GPixel/s,11.40 GTexel/s,,273.6 GFLOPS,22.80 GFLOPS (1:12),144,End-of-life,"Mar 26th, 2012"
2735,NVIDIA GeForce GTX 295,TSMC,55 nm,"1,400 million",470 mm²,Tesla 2.0,Dual-slot,289 W,,"999 MHz
										
					1998 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.3,4.0,896 MB,GDDR3,448 bit,111.9 GB/s,16.13 GPixel/s,46.08 GTexel/s,,596.2 GFLOPS,74.52 GFLOPS (1:8),240,End-of-life,"Jan 8th, 2009"
2736,Intel Crestline,Intel,90 nm,unknown,unknown,Generation 4.0,,,,,9.0c,2.0,N/A,N/A,,3.0,,,,,,,,,,,,"May 9th, 2007"
2737,Matrox Millenium P750,UMC,150 nm,80 million,unknown,Parhelia,Single-slot,unknown,,"250 MHz
										
					500 Mbps effective",8.1,1.3,N/A,N/A,,,128 MB,DDR,128 bit,8.000 GB/s,500.0 MPixel/s,2.000 GTexel/s,,,,,End-of-life,"May 10th, 2003"
2738,Intel Kaby Lake GT3e,Intel,14 nm++,unknown,unknown,Generation 9.5,,,,,12 (12_1),4.6,3.0,1.3,,6.4,,,,,,,,,,384,,"Jan 3rd, 2017"
2739,Intel Extreme Graphics 2,Intel,130 nm,unknown,unknown,Generation 2.0,IGP,unknown,200 MHz,System Shared,7.0,1.3,N/A,N/A,,,System Shared,System Shared,System Shared,System Dependent,266.0 MPixel/s,532.0 MTexel/s,,,,,End-of-life,"Dec 3rd, 2003"
2740,NVIDIA GeForce GT 230,TSMC,55 nm,505 million,196 mm²,Tesla,Single-slot,75 W,,"900 MHz
										
					1800 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,GDDR3,256 bit,57.60 GB/s,10.40 GPixel/s,15.60 GTexel/s,,156.0 GFLOPS,,48,End-of-life,"Oct 12th, 2009"
2741,NVIDIA GeForce GT 640 OEM Rebrand,TSMC,40 nm,"1,170 million",238 mm²,Fermi 2.0,Single-slot,75 W,,"800 MHz
										
					1600 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1536 MB,DDR3,192 bit,38.40 GB/s,4.320 GPixel/s,17.28 GTexel/s,,414.7 GFLOPS,34.56 GFLOPS (1:12),144,End-of-life,"Apr 24th, 2012"
2742,NVIDIA GeForce 9400,,80 nm,210 million,127 mm²,Tesla,IGP,40 W,,System Shared,11.1 (10_0),3.3,N/A,N/A,,4.0,System Shared,System Shared,System Shared,System Dependent,2.320 GPixel/s,4.640 GTexel/s,,44.80 GFLOPS,,16,End-of-life,"Apr 17th, 2007"
2743,AMD Radeon R7 265X OEM,TSMC,28 nm,"2,800 million",212 mm²,GCN 1.0,Dual-slot,150 W,900 MHz,"1400 MHz
										
					5.6 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,256 bit,179.2 GB/s,29.60 GPixel/s,74.00 GTexel/s,,2.368 TFLOPS,148.0 GFLOPS (1:16),1280,End-of-life,"Aug 12th, 2014"
2744,AMD Fiji,TSMC,28 nm,"8,900 million",596 mm²,GCN 3.0,,,,,12 (12_0),4.6,2.1,1.2.170,,6.5,,,,,,,,,,4096,,"Jun 24th, 2015"
2745,NVIDIA Quadro FX 4500,TSMC,110 nm,302 million,333 mm²,Curie,Dual-slot,109 W,,"525 MHz
										
					1050 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,512 MB,GDDR3,256 bit,33.60 GB/s,6.880 GPixel/s,10.32 GTexel/s,,,,,End-of-life,"Jul 28th, 2005"
2746,AMD Cedar,TSMC,40 nm,292 million,59 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,80,,"Jan 31st, 2011"
2747,AMD Radeon HD 6630M Mac Edition,TSMC,40 nm,716 million,118 mm²,TeraScale 2,,26 W,,"600 MHz
										
					2.4 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,256 MB,GDDR5,64 bit,19.20 GB/s,4.000 GPixel/s,12.00 GTexel/s,,480.0 GFLOPS,,480,End-of-life,"Jan 4th, 2011"
2748,NVIDIA GT200B,TSMC,55 nm,"1,400 million",470 mm²,Tesla 2.0,,,,,11.1 (10_0),3.3,1.1,N/A,1.3,4.0,,,,,,,,,,240,,"Jun 1st, 2008"
2749,ATI Radeon HD 5570 OEM,TSMC,40 nm,627 million,104 mm²,TeraScale 2,Single-slot,39 W,,"667 MHz
										
					1334 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR3,128 bit,21.34 GB/s,4.400 GPixel/s,8.800 GTexel/s,,352.0 GFLOPS,,320,End-of-life,"Feb 9th, 2010"
2750,NVIDIA GeForce 6600 AGP,TSMC,110 nm,146 million,154 mm²,Curie,Single-slot,unknown,,"250 MHz
										
					500 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,128 MB,DDR,128 bit,8.000 GB/s,1.200 GPixel/s,2.400 GTexel/s,,,,,End-of-life,"Aug 12th, 2004"
2751,Sony Playstation 2 GPU 90nm,Sony,90 nm,54 million,86 mm²,,,45 W,,150 MHz,N/A,N/A,N/A,N/A,,,4 MB,eDRAM,2560 bit,48.00 GB/s,2.352 GPixel/s,1.176 GTexel/s,,,,,End-of-life,"May 26th, 2005"
2752,NVIDIA GeForce 9400M,,65 nm,314 million,144 mm²,Tesla,IGP,12 W,,System Shared,11.1 (10_0),3.3,N/A,N/A,,4.0,System Shared,System Shared,System Shared,System Dependent,2.320 GPixel/s,4.640 GTexel/s,,44.80 GFLOPS,,16,End-of-life,"Oct 15th, 2008"
2753,ATI Radeon 9100 PCI,TSMC,150 nm,60 million,120 mm²,Rage 7,Single-slot,unknown,,"250 MHz
										
					500 Mbps effective",8.1,1.3,N/A,N/A,,,64 MB,DDR,128 bit,8.000 GB/s,1.000 GPixel/s,2.000 GTexel/s,,,,,End-of-life,"Apr 1st, 2003"
2754,AMD Radeon HD 7970 GHz Edition,TSMC,28 nm,"4,313 million",352 mm²,GCN 1.0,Dual-slot,300 W,1000 MHz,"1500 MHz
										
					6 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),3 GB,GDDR5,384 bit,288.0 GB/s,33.60 GPixel/s,134.4 GTexel/s,,4.301 TFLOPS,"1,075 GFLOPS (1:4)",2048,End-of-life,"Jun 22nd, 2012"
2755,Matrox M9125 PCIe x16,UMC,90 nm,unknown,unknown,PX,Single-slot,unknown,,"300 MHz
										
					600 Mbps effective",8.1,1.5,N/A,N/A,,,512 MB,DDR2,64 bit,4.800 GB/s,500.0 MPixel/s,2.000 GTexel/s,,,,,End-of-life,Unknown
2756,Intel GMA 900,Intel,130 nm,unknown,unknown,Generation 3.0,IGP,unknown,,System Shared,9.0c,1.4,N/A,N/A,,3.0,System Shared,System Shared,System Shared,System Dependent,1.332 GPixel/s,1.332 GTexel/s,,,,,End-of-life,2005
2757,AMD Radeon HD 7950 Monica BIOS 2,TSMC,28 nm,"4,313 million",352 mm²,GCN 1.0,Dual-slot,85 W,,"1250 MHz
										
					5 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),3 GB,GDDR5,384 bit,240.0 GB/s,25.60 GPixel/s,38.40 GTexel/s,,"1,229 GFLOPS",307.2 GFLOPS (1:4),768,End-of-life,"Jan 31st, 2012"
2758,NVIDIA GeForce GTS 450 Rev. 3,TSMC,40 nm,"1,170 million",238 mm²,Fermi 2.0,Dual-slot,106 W,,"700 MHz
										
					1400 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,128 bit,22.40 GB/s,4.698 GPixel/s,18.79 GTexel/s,,451.0 GFLOPS,37.58 GFLOPS (1:12),144,End-of-life,"Jul 11th, 2012"
2759,AMD Strato,TSMC,28 nm,"2,080 million",160 mm²,GCN 2.0,,,,,12 (12_0),4.6,2.1,1.2.170,,6.5,,,,,,,,,,896,,"May 5th, 2015"
2760,Intel HD Graphics 10EU,Intel,22 nm,unknown,unknown,Generation 7.5,IGP,45 W,200 MHz,System Shared,12 (11_1),4.3,1.2,1.0,,5.1,System Shared,System Shared,System Shared,System Dependent,1.000 GPixel/s,10.00 GTexel/s,,160.0 GFLOPS,40.00 GFLOPS (1:4),80,End-of-life,"Apr 29th, 2013"
2761,Intel HD Graphics 510 Mobile,Intel,14 nm+,unknown,unknown,Generation 9.0,IGP,15 W,300 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.4,System Shared,System Shared,System Shared,System Dependent,2.700 GPixel/s,10.80 GTexel/s,345.6 GFLOPS (2:1),172.8 GFLOPS,43.20 GFLOPS (1:4),96,Active,"Sep 1st, 2015"
2762,ATI Radeon HD 3650,TSMC,55 nm,378 million,135 mm²,TeraScale,Single-slot,65 W,,"800 MHz
										
					1600 Mbps effective",10.1 (10_1),3.3,N/A,N/A,,4.1,256 MB,GDDR3,128 bit,25.60 GB/s,2.900 GPixel/s,5.800 GTexel/s,,174.0 GFLOPS,,120,End-of-life,"Jan 20th, 2008"
2763,ATI RV410,TSMC,110 nm,120 million,156 mm²,R400,,,,,9.0b (9_2),2.0,N/A,N/A,,,,,,,,,,,,,,"Sep 1st, 2004"
2764,NVIDIA GeForce GTX 460 v2,TSMC,40 nm,"1,950 million",332 mm²,Fermi 2.0,Dual-slot,160 W,,"1002 MHz
										
					4 Gbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,GDDR5,192 bit,96.19 GB/s,10.91 GPixel/s,43.62 GTexel/s,,"1,046 GFLOPS",87.19 GFLOPS (1:12),336,End-of-life,"Sep 24th, 2011"
2765,AMD Radeon HD 6320 IGP,TSMC,40 nm,450 million,75 mm²,TeraScale 2,IGP,18 W,,System Shared,11.2 (11_0),4.4,1.2,N/A,,5.0,System Shared,System Shared,System Shared,System Dependent,2.032 GPixel/s,4.064 GTexel/s,,81.28 GFLOPS,,80,End-of-life,"Aug 15th, 2011"
2766,NVIDIA Quadro4 100 NVS,TSMC,150 nm,29 million,65 mm²,Celsius,Single-slot,10 W,,"166 MHz
										
					332 Mbps effective",7.0,1.5,N/A,N/A,,,64 MB,DDR,128 bit,5.312 GB/s,500.0 MPixel/s,1.000 GTexel/s,,,,,End-of-life,"Dec 22nd, 2003"
2767,ATI Radeon 9250,UMC,150 nm,36 million,98 mm²,Rage 7,Single-slot,unknown,,"200 MHz
										
					400 Mbps effective",8.1,1.4,N/A,N/A,,,64 MB,DDR,64 bit,3.200 GB/s,960.0 MPixel/s,960.0 MTexel/s,,,,,End-of-life,"Mar 1st, 2004"
2768,AMD Radeon Pro W6500M,TSMC,6 nm,"5,400 million",107 mm²,RDNA 2.0,Single-slot,25 W,1512 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,2.2,1.3,,6.7,4 GB,GDDR6,64 bit,128.0 GB/s,65.28 GPixel/s,130.6 GTexel/s,8.356 TFLOPS (2:1),4.178 TFLOPS,261.1 GFLOPS (1:16),1024,Active,Never Released
2769,ATI Radeon X1650 XT AGP,TSMC,80 nm,312 million,230 mm²,Ultra-Threaded SE,Single-slot,55 W,,"680 MHz
										
					1360 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,512 MB,GDDR3,128 bit,21.76 GB/s,4.320 GPixel/s,4.320 GTexel/s,,,,,End-of-life,"Oct 30th, 2006"
2770,NVIDIA RTX A2000 12 GB,Samsung,8 nm,"12,000 million",276 mm²,Ampere,Dual-slot,70 W,562 MHz,"1500 MHz
										
					12 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,12 GB,GDDR6,192 bit,288.0 GB/s,57.60 GPixel/s,124.8 GTexel/s,7.987 TFLOPS (1:1),7.987 TFLOPS,124.8 GFLOPS (1:64),3328,Active,"Nov 23rd, 2021"
2771,AMD Radeon HD 8400E,TSMC,28 nm,"1,178 million",110 mm²,GCN 2.0,IGP,25 W,,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,2.400 GPixel/s,4.800 GTexel/s,,153.6 GFLOPS,9.600 GFLOPS (1:16),128,End-of-life,"Apr 23rd, 2013"
2772,NVIDIA GeForce G100 OEM,UMC,65 nm,210 million,86 mm²,Tesla,Single-slot,35 W,,"400 MHz
										
					800 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,256 MB,DDR2,64 bit,6.400 GB/s,2.160 GPixel/s,2.160 GTexel/s,,20.80 GFLOPS,,8,End-of-life,"Mar 10th, 2009"
2773,NVIDIA GRID K140Q,TSMC,28 nm,"1,270 million",118 mm²,Kepler,IGP,130 W,,"891 MHz
										
					1782 Mbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),1024 MB,DDR3,128 bit,28.51 GB/s,3.400 GPixel/s,13.60 GTexel/s,,326.4 GFLOPS,13.60 GFLOPS (1:24),192,End-of-life,"Jun 28th, 2013"
2774,AMD Radeon RX 6600,TSMC,7 nm,"11,060 million",237 mm²,RDNA 2.0,Dual-slot,132 W,1626 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,2.1,1.3,,6.7,8 GB,GDDR6,128 bit,224.0 GB/s,159.4 GPixel/s,279.0 GTexel/s,17.86 TFLOPS (2:1),8.928 TFLOPS,558.0 GFLOPS (1:16),1792,Active,"Oct 13th, 2021"
2775,NVIDIA RTX A2000,Samsung,8 nm,"12,000 million",276 mm²,Ampere,Dual-slot,70 W,562 MHz,"1500 MHz
										
					12 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,6 GB,GDDR6,192 bit,288.0 GB/s,57.60 GPixel/s,124.8 GTexel/s,7.987 TFLOPS (1:1),7.987 TFLOPS,124.8 GFLOPS (1:64),3328,Active,"Aug 10th, 2021"
2776,NVIDIA GeForce GTX 1060 6 GB,TSMC,16 nm,"4,400 million",200 mm²,Pascal,Dual-slot,120 W,1506 MHz,"2002 MHz
										
					8 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,6 GB,GDDR5,192 bit,192.2 GB/s,82.03 GPixel/s,136.7 GTexel/s,68.36 GFLOPS (1:64),4.375 TFLOPS,136.7 GFLOPS (1:32),1280,End-of-life,"Jul 19th, 2016"
2777,ATI FirePro V8750,TSMC,55 nm,956 million,256 mm²,TeraScale,Dual-slot,151 W,,"900 MHz
										
					3.6 Gbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,2 GB,GDDR5,256 bit,115.2 GB/s,12.00 GPixel/s,30.00 GTexel/s,,"1,200 GFLOPS",240.0 GFLOPS (1:5),800,End-of-life,"Jul 28th, 2008"
2778,Intel Data Center GPU Flex 140,TSMC,6 nm,"7,200 million",157 mm²,Generation 12.7,Single-slot,75 W,1600 MHz,"1937 MHz
										
					15.5 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,,6.6,6 GB,GDDR6,96 bit,186.0 GB/s,62.40 GPixel/s,124.8 GTexel/s,7.987 TFLOPS (2:1),3.994 TFLOPS,,1024,Active,"Aug 24th, 2022"
2779,Intel UHD Graphics 24EU Mobile,Intel,10 nm,unknown,unknown,Generation 12.2,IGP,15 W,300 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.6,System Shared,System Shared,System Shared,System Dependent,7.200 GPixel/s,14.40 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),192,Active,"Jan 4th, 2022"
2780,ATI FireGL 9700 X1-256,TSMC,150 nm,110 million,215 mm²,R300,Single-slot,37 W,,"310 MHz
										
					620 Mbps effective",9.0 (9_0),2.0,N/A,N/A,,,256 MB,DDR,256 bit,19.84 GB/s,2.600 GPixel/s,2.600 GTexel/s,,,,,End-of-life,"Jul 23rd, 2002"
